company,store_name,address,latitude,longitude,都道府県,place_id,source
ツルハドラッグ,ツルハドラッグ 弘前西城北店,青森県弘前市大字西城北1丁目2番４,40.615524,140.471459,青森県,,
ツルハドラッグ,ツルハドラッグ 弘前駅前店,青森県弘前市大字駅前2丁目6番地2,40.6009741123861,140.47943513435862,青森県,,
ツルハドラッグ,ツルハドラッグ 本八戸駅前店,青森県八戸市城下2丁目1-12,40.517225,141.487377,青森県,,
ツルハドラッグ,ツルハドラッグ 板柳店,青森県北津軽郡板柳町大字灰沼字東267-1,40.70611298036508,140.45539504637617,青森県,,
ツルハドラッグ,ツルハドラッグ 板柳福野田店,青森県北津軽郡板柳町大字福野田字実田4番地15,40.69562678453772,140.46167123502855,青森県,,
ツルハドラッグ,ツルハドラッグ 河原木店,青森県八戸市下長四丁目1-9,40.53429771950413,141.47739899172663,青森県,,
ツルハドラッグ,ツルハドラッグ 浪岡店,青森県青森市浪岡大字杉沢字井ノ下144-1,40.72048064665738,140.5894194983303,青森県,,
ツルハドラッグ,ツルハドラッグ 湊高台店,青森県八戸市湊高台三丁目7-1,40.50762739166064,141.543710855208,青森県,,
ツルハドラッグ,ツルハドラッグ 福地南部店,青森県三戸郡南部町大字苫米地字白山堂1-2,40.46768239362834,141.38802220144083,青森県,,
ツルハドラッグ,ツルハドラッグ 野辺地店,青森県上北郡野辺地町字野辺地41-1,40.86358188399405,141.12659880634058,青森県,,
ツルハドラッグ,ツルハドラッグ 青森三内店,青森県青森市大字三内字玉作1-51,40.82185646999999,140.71121088220897,青森県,,
ツルハドラッグ,ツルハドラッグ 青森南佃店,青森県青森市南佃一丁目４４番１号,40.81257143599318,140.78234985798088,青森県,,
ツルハドラッグ,ツルハドラッグ 青森原別店,青森県青森市原別一丁目１番３３号,40.8366382,140.7979665,青森県,,
ツルハドラッグ,ツルハドラッグ 青森富田店,青森県青森市富田3丁目9-1,40.83257182202839,140.71175283494867,青森県,,
ツルハドラッグ,ツルハドラッグ 青森新城店,青森県青森市大字新城字平岡175-38,40.82837353057511,140.67601169062652,青森県,,
ツルハドラッグ,ツルハドラッグ 青森新田店,青森県青森市新田2丁目2番16号,40.84061273515477,140.71573303288437,青森県,,
ツルハドラッグ,ツルハドラッグ 青森本町店,青森県青森市本町4丁目9番5号,40.82880190616066,140.75371678089294,青森県,,
ツルハドラッグ,ツルハドラッグ 青森桜川店,青森県青森市桜川七丁目5番10号,40.80889621043765,140.77069816140144,青森県,,
ツルハドラッグ,ツルハドラッグ 青森浜田店,青森県青森市大字浜田字玉川251番地2,40.79711217904705,140.7622215459227,青森県,,
ツルハドラッグ,ツルハドラッグ 青森港町店,青森県青森市港町三丁目6番24号,40.8303899,140.7692391,青森県,,
ツルハドラッグ,ツルハドラッグ 鯵ヶ沢店,青森県西津軽郡鰺ヶ沢町大字舞戸町字久富17-8,40.77583203,140.2257741,青森県,,
ハッピードラッグ,ハッピー・ドラッグ つがる木造店,青森県つがる市木造浮巣51-1,40.810645,140.395574,青森県,,
ハッピードラッグ,ハッピー・ドラッグ つがる森田店,青森県つがる市森田町山田渕浪90,40.780508,140.36678,青森県,,
ハッピードラッグ,ハッピー・ドラッグ むつとまぶモール店,青森県むつ市金曲1-2-4,41.283433,141.214524,青森県,,
ハッピードラッグ,ハッピー・ドラッグ むつ中央店,青森県むつ市旭町2-30,41.283129,141.183424,青森県,,
ハッピードラッグ,ハッピー・ドラッグ むつ大畑店,青森県むつ市大畑町中島39-26,41.403783,141.170383,青森県,,
ハッピードラッグ,ハッピー・ドラッグ むつ金谷店,青森県むつ市金谷2-22-1,41.295066,141.19667,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 三沢堀口店,青森県三沢市堀口3-1-5,40.683934,141.386587,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 三沢岡三沢店,青森県三沢市下久保1-1-3,40.684369,141.382455,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 三沢松園町店,青森県三沢市松園町3-1-1,40.674847,141.368903,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 五所川原広田店,青森県五所川原市姥萢船橋242-6,40.784289,140.460814,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 五所川原松島店,青森県五所川原市一ツ谷548-1,40.805709,140.456903,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 五所川原金木店,青森県五所川原市金木町沢部454-8,40.903056,140.446779,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸一番町店,青森県八戸市尻内町八百刈39-2,40.505064,141.441873,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸下長店,青森県八戸市下長3-13-8,40.535099,141.477051,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸吹上店,青森県八戸市吹上2-16-22,40.496428,141.503346,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸売市店,青森県八戸市根城9-5-3,40.505568,141.472543,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸旭ヶ丘店,青森県八戸市新井田字小久保尻16-127,40.495856,141.544894,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸根城店,青森県八戸市根城2-26-27,40.499443,141.480025,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸桔梗野店,青森県八戸市松ケ丘5-1,40.550865,141.452854,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸湊中道店,青森県八戸市湊町中道55,40.518589,141.536147,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸湊高台中央店,青森県八戸市湊高台4-18-13,40.505286,141.545293,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸湊高台店,青森県八戸市湊高台5-1-18,40.506509,141.536784,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸田向店,青森県八戸市田向2-12-8,40.491787,141.515007,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸類家中央店,青森県八戸市類家4-41-5,40.502468,141.511957,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 八戸類家店,青森県八戸市南類家3-2-12,40.498848,141.513074,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 十和田元町東店,青森県十和田市元町東3-3-35,40.621949,141.218807,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 十和田元町西店,青森県十和田市元町西4-3-30,40.618589,141.204319,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 十和田穂並町店,青森県十和田市穂並町7-3,40.603315,141.223328,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 十和田西金崎店,青森県十和田市西23-60-19,40.601616,141.198278,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 平川尾上店,青森県平川市尾上栄松48-1,40.613764,140.583891,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 平川平賀店,青森県平川市本町平野12-9,40.582093,140.571788,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前和徳店,青森県弘前市和徳町165,40.604943,140.48602,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前土手町店,青森県弘前市土手町89-1,40.596992,140.477446,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前城東中央店,青森県弘前市城東中央3-3-1,40.597082,140.497479,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前城東店,青森県弘前市田園3-5-12,40.599837,140.512123,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前堅田店,青森県弘前市青山1-11-2,40.615255,140.487325,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前大原店,青森県弘前市大原2-5-26,40.573979,140.452479,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前岩木店,青森県弘前市一町田村元712-1,40.612079,140.428223,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前桔梗野店,青森県弘前市桔梗野1-2-2,40.589691,140.468779,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前樋の口店,青森県弘前市樋の口2-9-6イオンタウン弘前樋の口内,40.599868,140.44703,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 弘前浜の町店,青森県弘前市浜の町西1-5-21,40.615243,140.462646,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森おいらせ店,青森県上北郡おいらせ町牛込平80-1,40.599789,141.441271,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森おいらせ青葉店,青森県上北郡おいらせ町青葉5-50-1486,40.651178,141.378161,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森のぎわ店,青森県青森市羽白字沢田306-1,40.853836,140.683825,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森やえだ店,青森県青森市東造道3-15-1,40.824278,140.801889,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森三内店,青森県青森市三内玉作2-72,40.818378,140.714279,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森三戸店,青森県三戸郡三戸町同心町字古間木平1-1,40.374186,141.255155,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森上北町店,青森県上北郡東北町旭北1-3-16,40.733073,141.268691,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森中央店,青森県青森市東大野2-8-4,40.796086,140.748254,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森中里店,青森県北津軽郡中泊町中里字紅葉坂159-1,40.959513,140.437351,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森久須志店,青森県青森市久須志3-18-7,40.81481,140.730349,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森五戸店,青森県三戸郡五戸町中道8-1,40.519683,141.312707,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森佃店,青森県青森市中佃3-7-13,40.814907,140.789682,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森八重田SC店,青森県青森市造道3-25-1,40.828967,140.793161,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森六戸店,青森県上北郡六戸町犬落瀬後田52-5,40.603486,141.329874,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森勝田店,青森県青森市勝田1-20-1,40.816122,140.757998,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森南佃店,青森県青森市南佃2-7-10,40.812788,140.787182,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森大間店,青森県下北郡大間町大間字奥戸上道17-1,41.521306,140.909112,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森大鰐店,青森県南津軽郡大鰐町大鰐字前田5-1,40.520586,140.570876,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森奥野店,青森県青森市奥野2-26-10,40.809791,140.766625,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森幸畑店,青森県青森市幸畑5-1-3,40.778286,140.784694,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森戸山店,青森県青森市蛍沢4-2-8,40.795259,140.806862,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森新城店,青森県青森市新城平岡258-258,40.822786,140.688678,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森旭町通店,青森県青森市金沢3-27-22,40.80763,140.73959,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森松原店,青森県青森市松原3-13-21,40.815185,140.767812,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森沖館店,青森県青森市柳川2-4-22,40.828351,140.731489,青森県,,
