都道府県,市区町村,総数,65歳以上,高齢化率
福島県,浅川町,6036.0,2056.0,34.06229
福島県,古殿町,4825.0,1893.0,39.23316
福島県,三春町,17018.0,5911.0,34.73381
福島県,小野町,9471.0,3389.0,35.78292
福島県,広野町,5412.0,1606.0,29.6748
福島県,楢葉町,3710.0,1402.0,37.78976
福島県,富岡町,2128.0,514.0,24.15414
福島県,川内村,2044.0,982.0,48.04305
福島県,大熊町,847.0,87.0,10.27155
福島県,浪江町,1923.0,620.0,32.24129
福島県,葛尾村,420.0,198.0,47.14286
福島県,新地町,7905.0,2603.0,32.92853
福島県,飯舘村,1318.0,758.0,57.51138
