都道府県,市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
宮城県,大和町,28786.0,38.4217298195,140.80561971119124,6.761,薬王堂 宮城大富店
宮城県,大郷町,7813.0,38.4343195,141.0175081110029,2.244,薬王堂 宮城大郷店
宮城県,大衡村,5849.0,38.478407302,140.8701609493105,4.592,ドラッグヤマザワ吉岡店
宮城県,色麻町,6698.0,38.510155,140.78697858843947,7.105,薬王堂 加美小野田店
宮城県,加美町,21943.0,38.5816358335,140.7242041036546,6.134,薬王堂 加美小野田店
宮城県,涌谷町,15388.0,38.5570993875,141.16426523348446,4.125,薬王堂 宮城涌谷店
宮城県,美里町,23994.0,38.515548653,141.1159990915503,2.394,ツルハドラッグ 涌谷店
宮城県,女川町,6430.0,38.4386080945,141.428955190804,1.2,ツルハドラッグ 宮城女川店
宮城県,南三陸町,12225.0,38.673292892,141.4149546762652,2.536,薬王堂 宮城志津川店
秋田県,秋田市,307672.0,39.656944973,140.18603105075056,1.96,ツルハドラッグ 秋田御所野店
秋田県,能代市,49968.0,40.210992234,140.1392703435747,5.719,ツルハドラッグ 東能代店
秋田県,横手市,85555.0,39.2510925,140.58961347953868,5.376,薬王堂 十文字梨木店
秋田県,大館市,69237.0,40.267672288,140.56831886051407,0.603,サンドラッグ 大館東台店
秋田県,男鹿市,25154.0,39.964887054,139.87833977592896,6.284,ツルハドラッグ 男鹿払戸店
秋田県,湯沢市,42091.0,39.045738338,140.52473646864422,6.067,薬王堂 湯沢雄勝店
秋田県,鹿角市,29088.0,40.1950261665,140.81008763681496,1.569,ツルハドラッグ 鹿角店
秋田県,由利本荘市,74707.0,39.3059734055,140.1701704447504,8.307,薬王堂 由利本荘矢島店
秋田県,潟上市,31720.0,39.8661590135,140.05942949464549,0.399,ツルハドラッグ 潟上昭和店
秋田県,大仙市,77657.0,39.544428279,140.4840296533214,4.721,ツルハドラッグ 中仙店
秋田県,北秋田市,30198.0,40.07524268,140.51940922556943,12.878,薬王堂北秋田米内沢店
秋田県,にかほ市,23435.0,39.209288239,139.97311136961582,5.903,薬王堂 にかほ象潟店
秋田県,仙北市,24610.0,39.775389266,140.6617940144058,10.093,ツルハドラッグ 田沢湖店
秋田県,小坂町,4780.0,40.396706153,140.7485475103405,8.082,ハッピー・ドラッグ 秋田小坂店
秋田県,上小阿仁村,2063.0,39.943739599500006,140.31047611931768,16.193,五城目中央ドラッグ
秋田県,藤里町,2896.0,40.343456293,140.27185574384714,15.387,ツルハドラッグ 鷹巣店
秋田県,三種町,15254.0,40.065903946,140.13358016568367,5.89,ツルハドラッグ 琴丘店
秋田県,八峰町,6577.0,40.3580401125,140.08663160424544,5.346,薬王堂 秋田八峰店
秋田県,五城目町,8538.0,39.919973027,140.20972975970034,8.139,五城目中央ドラッグ
秋田県,八郎潟町,5583.0,39.9597882345,140.07504303788178,1.78,ツルハドラッグ 八郎潟店
秋田県,井川町,4566.0,39.8937560675,140.12411256804188,3.416,ベストドラッグ井川店
秋田県,大潟村,3011.0,40.007385946,140.0062787668316,6.809,ツルハドラッグ 琴丘店
秋田県,美郷町,18613.0,39.4248060945,140.60062341755844,3.874,薬王堂 秋田六郷店
秋田県,羽後町,13825.0,39.1729791395,140.36284298970986,4.685,ツルハドラッグ 羽後店
秋田県,東成瀬村,2704.0,39.083185667,140.7236719153521,14.849,薬王堂 湯沢稲川店
山形県,山形市,247590.0,38.2477707255,140.3421748818452,0.527,ツルハドラッグ 山形東原店
山形県,米沢市,81252.0,37.860758946,140.10092491054593,3.54,薬王堂 米沢泉町店
山形県,鶴岡市,122347.0,38.5717439595,139.78851662895954,12.534,ドラッグセイムス 鶴岡櫛引店
山形県,酒田市,100273.0,38.933530248,139.96445649462407,4.366,ツルハドラッグ 酒田八幡店
山形県,新庄市,34432.0,38.800088919,140.34523907022162,2.301,薬王堂 新庄泉田店
山形県,寒河江市,40189.0,38.438876473,140.22307029114853,4.827,薬王堂 山形西川店
山形県,上山市,29110.0,38.13880068,140.32508628309486,3.298,ツルハドラッグ 上山東店
山形県,村山市,22516.0,38.517333734000005,140.33532781082772,4.761,ツルハドラッグ 村山西店
山形県,長井市,26543.0,38.1440010995,139.97342929736436,6.402,ウエルシア長井緑町店
山形県,天童市,62140.0,38.3577765585,140.40211857176658,1.567,ツルハドラッグ 天童店
山形県,東根市,47682.0,38.418485293,140.4571577165487,5.867,薬王堂 東根店
山形県,尾花沢市,14971.0,38.579160333,140.4869039310425,7.147,ツルハドラッグ 尾花沢新町店
山形県,南陽市,30420.0,38.121584586,140.1478799931647,5.615,薬王堂 南陽宮内店
山形県,山辺町,13725.0,38.2752843015,140.2175869901073,4.005,ツルハドラッグ 山辺店
山形県,中山町,10746.0,38.3328931125,140.26345320045442,1.412,薬王堂 中山南店
山形県,河北町,17641.0,38.4243157615,140.2965398671672,1.414,ウエルシア山形河北店
山形県,西川町,4956.0,38.404847248,139.9697475927798,17.813,薬王堂 山形西川店
山形県,朝日町,6366.0,38.271275365,140.06502066228876,8.407,薬王堂 山形朝日店
山形県,大江町,7646.0,38.3382436985,140.05351540349574,9.806,薬王堂 山形朝日店
山形県,大石田町,6577.0,38.5968595135,140.3261177113064,5.125,薬王堂 山形大石田店
山形県,金山町,5071.0,38.9039996535,140.39240194658686,11.753,薬王堂 新庄泉田店
山形県,最上町,8080.0,38.767353171,140.52545980270983,1.588,ツルハドラッグ 最上店
山形県,舟形町,5007.0,38.660024788,140.28520641608867,10.114,薬王堂 新庄鳥越店
山形県,真室川町,7203.0,38.947219545500005,140.22481209420772,10.082,ツルハドラッグ 真室川店
山形県,大蔵村,3028.0,38.608402,140.18168747461976,17.741,薬王堂 山形大石田店
山形県,鮭川村,3902.0,38.8199176665,140.2096703808179,4.992,薬王堂 山形真室川店
山形県,戸沢村,4199.0,38.717445973,140.12352925739617,14.939,ドラッグヤマザワ新庄宮内店
山形県,高畠町,22463.0,37.989327446,140.19585440831568,1.371,ツルハドラッグ 高畠店
山形県,川西町,14558.0,37.970612288,140.0183466061892,4.453,ツルハドラッグ 川西店
山形県,小国町,7107.0,38.0532556985,139.79926501772812,4.412,ツルハドラッグ 小国店
山形県,白鷹町,12890.0,38.19870883350001,140.07484169413698,1.336,薬王堂 白鷹鮎貝店
山形県,飯豊町,6613.0,37.9552892525,139.90691623692493,12.754,ツルハドラッグ 飯豊店
山形県,三川町,7601.0,38.793605473,139.85177896171797,2.033,ツルハドラッグ 三川南店
山形県,庄内町,20151.0,38.706014973,140.01821949079272,11.809,ツルハドラッグ 藤島店
山形県,遊佐町,13032.0,39.054644347,139.95288722989835,5.7,薬王堂 山形遊佐店
福島県,福島市,282693.0,37.8004810045,140.40187097661513,2.36,ハシドラッグ 信陵店
福島県,会津若松市,117376.0,37.4530868605,140.005938586812,6.817,ツルハドラッグ 会津門田店
福島県,郡山市,327692.0,37.44590536,140.286091295444,5.11,ツルハドラッグ 郡山片平店
福島県,いわき市,332931.0,37.087847991,140.81904172398112,5.232,ツルハドラッグ 平窪店
福島県,白河市,59491.0,37.130887572,140.24169081128042,0.608,薬王堂 白河桜岡店
福島県,須賀川市,74992.0,37.298101527,140.30353159646313,3.233,薬王堂 須賀川木之崎店
福島県,喜多方市,44760.0,37.71730564,139.84830636889217,4.137,薬王堂 喜多方松山店
福島県,相馬市,34865.0,37.782886464,140.89051595663653,3.3,ドラッグストア マツモトキヨシ エイトタウン相馬店
福島県,二本松市,53557.0,37.5749081935,140.4941952198232,4.128,ツルハドラッグ 二本松上竹店
福島県,田村市,35169.0,37.4063458605,140.68714665198854,5.47,薬王堂 田村大越店
福島県,南相馬市,59005.0,37.627208527,140.92678843638862,1.414,薬王堂 原町大木戸北店
福島県,伊達市,58240.0,37.802200054,140.60652934606316,3.526,薬王堂 伊達霊山町店
福島県,本宮市,30236.0,37.510731347,140.4261292240461,1.707,薬王堂 本宮高木店
福島県,桑折町,11459.0,37.8639543335,140.5015161551354,2.64,ウエルシア伊達桑折店
福島県,国見町,8639.0,37.889481446,140.54489932568998,1.962,ハシドラッグ 国見店
福島県,川俣町,12170.0,37.630869806,140.61919730966395,4.104,ツルハドラッグ 川俣中央店
福島県,大玉村,8900.0,37.5637092795,140.32017927078263,7.234,薬王堂 福島大玉店
福島県,鏡石町,12318.0,37.246886081,140.34318120574898,0.745,薬王堂 福島鏡石店
福島県,天栄村,5194.0,37.269219874,140.0856564846193,14.024,ツルハドラッグ 須賀川長沼店
福島県,下郷町,5264.0,37.253911946,139.84138749317302,3.307,ツルハドラッグ 南会津下郷店
福島県,檜枝岐村,504.0,37.056930113,139.33759407661768,41.558,ツルハドラッグ 南会津店
福島県,只見町,4044.0,37.292320360000005,139.35965191950697,37.63,ツルハドラッグ 南会津店
