company,store_name,address
ツルハドラッグ,ツルハドラッグ 大船渡赤崎店,岩手県大船渡市赤崎町字諏訪前39-7
ツルハドラッグ,ツルハドラッグ 大通2丁目店,岩手県盛岡市大通２丁目３−５
ツルハドラッグ,ツルハドラッグ 奥州胆沢店,岩手県奥州市胆沢南都田宇南田１４０
ツルハドラッグ,ツルハドラッグ 奥州胆沢店,岩手県奥州市胆沢南都田字宇南田140
ツルハドラッグ,ツルハドラッグ 宮古中央店,岩手県宮古市保久田８−５
ツルハドラッグ,ツルハドラッグ 宮古千徳店,岩手県宮古市上鼻２丁目８−７５
ツルハドラッグ,ツルハドラッグ 宮古千徳店,岩手県宮古市上鼻2丁目8－75
ツルハドラッグ,ツルハドラッグ 宮古南町店,岩手県宮古市南町１４−３
ツルハドラッグ,ツルハドラッグ 宮古磯鶏南店,岩手県宮古市実田１丁目４−６
ツルハドラッグ,ツルハドラッグ 宮古磯鶏南店,岩手県宮古市1丁目4-6
ツルハドラッグ,ツルハドラッグ 宮古磯鶏店,岩手県宮古市磯鶏石崎２−１２
ツルハドラッグ,ツルハドラッグ 岩手山田店,岩手県下閉伊郡山田町中央町５6号
ツルハドラッグ,ツルハドラッグ 岩手山田店,岩手県下閉伊郡山田町中央町5番6号
ツルハドラッグ,ツルハドラッグ 岩泉店,岩手県下閉伊郡岩泉町岩泉太田18−１
ツルハドラッグ,ツルハドラッグ 岩泉店,岩手県下閉伊郡岩泉町岩泉字太田18-1
ツルハドラッグ,ツルハドラッグ 水沢台町店,岩手県奥州市水沢台町６−６
ツルハドラッグ,ツルハドラッグ 水沢大鐘店,岩手県奥州市水沢南大鐘１丁目８５
ツルハドラッグ,ツルハドラッグ 江刺店,岩手県奥州市江刺西大通り９−５
ツルハドラッグ,ツルハドラッグ 沼宮内店,岩手県岩手郡岩手町五日市第１１地割１１７−１
ツルハドラッグ,ツルハドラッグ 沼宮内店,岩手県岩手郡岩手町大字五日市第11地割117-1
ツルハドラッグ,ツルハドラッグ 滝沢室小路店,岩手県滝沢市室小路672−１８
ツルハドラッグ,ツルハドラッグ 滝沢巣子店,岩手県滝沢市巣子９５−１
ツルハドラッグ,ツルハドラッグ 盛岡みたけ北店,岩手県盛岡市みたけ２丁目１２−１０
ツルハドラッグ,ツルハドラッグ 盛岡三ツ割店,岩手県盛岡市三ツ割４丁目９−１
ツルハドラッグ,ツルハドラッグ 盛岡三ツ割店,岩手県盛岡市4丁目9番1号
ツルハドラッグ,ツルハドラッグ 盛岡上堂店,岩手県盛岡市上堂１丁目１７−３６
ツルハドラッグ,ツルハドラッグ 盛岡乙部店,岩手県盛岡市乙部４地割23番5
ツルハドラッグ,ツルハドラッグ 盛岡八幡店,岩手県盛岡市八幡町１２22号
ツルハドラッグ,ツルハドラッグ 盛岡八幡店,岩手県盛岡市八幡町12番22号
ツルハドラッグ,ツルハドラッグ 盛岡南仙北店,岩手県盛岡市南仙北１丁目２１−３９
ツルハドラッグ,ツルハドラッグ 盛岡向中野店,岩手県盛岡市向中野５丁目２９38号
ツルハドラッグ,ツルハドラッグ 盛岡向中野店,岩手県盛岡市向中野5丁目29番38号
ツルハドラッグ,ツルハドラッグ 盛岡向中野東店,岩手県盛岡市向中野２丁目１−１
ツルハドラッグ,ツルハドラッグ 盛岡向中野東店,岩手県盛岡市向中野二丁目1番1号
ツルハドラッグ,ツルハドラッグ 盛岡愛宕店,岩手県盛岡市愛宕町１１−１９
ツルハドラッグ,ツルハドラッグ 盛岡本宮店,岩手県盛岡市本宮７丁目３−２３
ツルハドラッグ,ツルハドラッグ 盛岡本宮店,岩手県盛岡市本宮七丁目3番23号
ツルハドラッグ,ツルハドラッグ 盛岡本町通店,岩手県盛岡市本町通１丁目２−１５
ツルハドラッグ,ツルハドラッグ 盛岡津志田店,岩手県盛岡市津志田中央２丁目１７17番地33号
ツルハドラッグ,ツルハドラッグ 盛岡津志田西店,岩手県盛岡市津志田西２丁目２−１５
ツルハドラッグ,ツルハドラッグ 盛岡盛南店,岩手県盛岡市向中野６丁目１４−１７
ツルハドラッグ,ツルハドラッグ 盛岡盛南店,岩手県盛岡市向中野六丁目14番17号
